,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.33,10.0,73,93,6.26,NZ,1603136831
1,Carballo,43.21,-8.69,17.0,88,75,3.1,ES,1603136655
2,Lompoc,34.64,-120.46,18.0,77,20,4.6,US,1603136833
3,Nome,64.5,-165.41,3.0,93,90,2.6,US,1603136662
4,Batagay-Alyta,67.8,130.41,-9.87,89,100,0.9,RU,1603136835
5,Barrow,71.29,-156.79,-6.0,85,90,5.1,US,1603136837
6,Albany,42.6,-73.97,16.11,72,100,2.41,US,1603136644
7,Cabo San Lucas,22.89,-109.91,33.33,66,5,2.1,MX,1603136821
8,Salalah,17.02,54.09,29.0,48,75,1.0,OM,1603136840
9,Laas,46.62,10.7,10.0,86,5,0.67,IT,1603136841
10,Tuktoyaktuk,69.45,-133.04,-4.94,98,91,2.29,CA,1603136843
11,Hermanus,-34.42,19.23,14.44,70,100,6.09,ZA,1603136641
12,Hualmay,-11.1,-77.61,20.36,67,6,4.88,PE,1603136814
13,Saint-Philippe,-21.36,55.77,21.11,77,24,3.1,RE,1603136846
14,Norman Wells,65.28,-126.83,-6.19,81,13,4.1,CA,1603136847
15,Aswān,24.09,32.91,28.39,22,0,4.37,EG,1603136848
16,Ponta do Sol,32.67,-17.1,22.0,68,20,6.7,PT,1603136850
17,Mataura,-46.19,168.86,10.0,73,88,6.26,NZ,1603136851
18,Yellowknife,62.46,-114.35,-2.22,90,94,0.89,CA,1603136686
19,Romita,20.87,-101.52,27.0,24,20,2.6,MX,1603136709
20,Iida,35.52,137.82,7.22,100,100,1.7,JP,1603136855
21,Yulara,-25.24,130.99,19.0,88,71,4.1,AU,1603136856
22,Ilulissat,69.22,-51.1,5.0,52,75,7.7,GL,1603136857
23,Tooele,40.53,-112.3,22.0,30,1,4.1,US,1603136858
24,Katsuura,35.13,140.3,15.0,77,99,5.7,JP,1603136859
25,Atuona,-9.8,-139.03,25.99,72,0,8.3,PF,1603136861
26,Vardø,70.37,31.11,4.0,80,75,5.7,NO,1603136862
27,Ushuaia,-54.8,-68.3,4.0,80,75,15.9,AR,1603136863
28,Labuhan,-6.88,112.21,25.53,81,80,3.36,ID,1603136864
29,Surgut,61.25,73.42,0.0,98,75,4.0,RU,1603136865
30,Busselton,-33.65,115.33,13.33,71,0,4.12,AU,1603136866
31,Savannakhet,16.57,104.75,19.58,93,99,2.7,LA,1603136868
32,Alyangula,-13.85,136.42,21.0,100,54,3.83,AU,1603136869
33,Dikson,73.51,80.55,-4.57,95,98,7.97,RU,1603136870
34,Port Alfred,-33.59,26.89,17.97,88,21,1.92,ZA,1603136871
35,Bredasdorp,-34.53,20.04,15.0,62,100,5.1,ZA,1603136724
36,Copiapó,-27.37,-70.33,18.0,59,40,6.7,CL,1603136874
37,Karpogory,64.0,44.45,-1.6,99,100,1.34,RU,1603136875
38,Vaini,-21.2,-175.2,22.0,78,20,5.7,TO,1603136876
39,East London,-33.02,27.91,19.32,85,16,3.16,ZA,1603136877
40,Flinders,-34.58,150.86,15.56,82,79,0.45,AU,1603136878
41,Khatanga,71.97,102.5,-13.22,95,5,1.02,RU,1603136880
42,Kapaa,22.08,-159.32,28.33,78,75,4.6,US,1603136711
43,Tasiilaq,65.61,-37.64,1.0,86,52,6.2,GL,1603136882
44,Ribeira Grande,38.52,-28.7,16.0,72,40,7.2,PT,1603136883
45,Rikitea,-23.12,-134.97,23.35,78,0,6.4,PF,1603136758
46,Collie,-33.37,116.15,13.33,71,94,3.19,AU,1603136886
47,Barra do Garças,-15.89,-52.26,27.0,68,100,0.22,BR,1603136887
48,Tautira,-17.73,-149.15,29.0,62,75,8.2,PF,1603136790
49,San Patricio,28.02,-97.52,32.78,59,75,8.2,US,1603136765
