,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,Rikitea,-23.12,-134.97,23.47,77,0,5.23,PF,1603165589
21,Hong Kong,22.29,114.16,26.11,64,0,0.89,HK,1603165437
43,Yorosso,12.35,-4.78,24.27,67,0,1.88,ML,1603165688
179,Ţahţā,26.77,31.5,22.0,37,0,2.6,EG,1603165848
184,Tambacounda,13.75,-13.76,25.0,88,0,1.0,SN,1603165854
212,Mitsamiouli,-11.38,43.28,25.57,70,0,1.72,KM,1603165825
278,Aswān,24.09,32.91,25.09,25,0,3.72,EG,1603165966
341,Cap Malheureux,-19.98,57.61,25.56,67,0,5.36,MU,1603166040
380,Longhua,23.61,114.19,26.06,51,0,2.67,CN,1603166085
434,Bandar-e Lengeh,26.56,54.88,22.0,64,0,3.1,IR,1603166149
435,Álamos,27.02,-108.93,26.11,75,0,1.19,MX,1603166150
447,Nioro,13.35,-15.75,24.9,70,0,1.57,GM,1603165889
505,Gusau,12.16,6.66,24.49,46,0,2.28,NG,1603165993
506,Maiduguri,11.85,13.16,24.32,26,0,0.79,NG,1603166234
566,Bama,11.52,13.69,23.71,32,0,0.94,NG,1603166304
