,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.51,80.55,-3.97,94,98,7.26,RU,1603165638
1,Rikitea,-23.12,-134.97,23.47,77,0,5.23,PF,1603165589
2,San Cristobal,7.77,-72.22,19.54,83,95,0.69,VE,1603165631
3,Ushuaia,-54.8,-68.3,2.0,89,75,15.4,AR,1603165556
4,Busselton,-33.65,115.33,25.0,33,5,2.91,AU,1603165642
5,Moindou,-21.69,165.68,29.0,48,30,4.1,NC,1603165644
6,Coquimbo,-29.95,-71.34,13.0,76,0,5.1,CL,1603165148
7,Cape Town,-33.93,18.42,14.44,93,75,1.0,ZA,1603165515
8,Fortuna,40.6,-124.16,13.33,100,90,2.6,US,1603165647
9,Provideniya,64.38,-173.3,4.0,80,75,1.0,RU,1603165527
10,Bonavista,48.65,-53.11,9.44,86,26,5.63,CA,1603165649
11,Souillac,-20.52,57.52,24.0,78,40,5.1,MU,1603165508
12,Casino,-28.87,153.05,24.0,47,91,4.6,AU,1603165652
13,Warwick,41.7,-71.42,12.22,87,75,0.78,US,1603165653
14,Kalmunai,7.42,81.82,30.21,54,30,1.61,LK,1603165654
15,Hasaki,35.73,140.83,21.11,60,75,6.2,JP,1603165471
16,Leningradskiy,69.38,178.42,-3.46,90,27,3.03,RU,1603165642
17,Jamestown,42.1,-79.24,12.22,100,90,2.1,US,1603165436
18,Bethel,41.37,-73.41,12.0,93,1,1.54,US,1603165659
19,Vila Franca do Campo,37.72,-25.43,15.0,82,40,7.7,PT,1603165569
20,Tiksi,71.69,128.87,-9.52,92,100,10.61,RU,1603165634
21,Hong Kong,22.29,114.16,26.11,64,0,0.89,HK,1603165437
22,La Crosse,43.8,-91.24,2.0,59,90,1.39,US,1603165387
23,Mataura,-46.19,168.86,11.11,69,89,5.36,NZ,1603165665
24,Abay,49.63,72.85,-1.0,58,23,2.0,KZ,1603165666
25,Hokitika,-42.72,170.97,13.35,65,31,4.64,NZ,1603165667
26,Avarua,-21.21,-159.78,27.0,74,61,1.5,CK,1603165377
27,Xining,36.62,101.77,7.71,49,12,1.35,CN,1603165394
28,Castro,-24.79,-50.01,17.39,91,66,4.2,BR,1603165670
29,Aklavik,68.22,-135.01,-5.0,92,90,1.5,CA,1603165672
30,Atuona,-9.8,-139.03,25.87,75,1,8.24,PF,1603165637
31,Kavieng,-2.57,150.8,28.64,70,99,1.5,PG,1603165674
32,Negombo,7.21,79.84,28.0,78,40,2.1,LK,1603165675
33,Zmeinogorsk,51.16,82.19,5.21,57,98,5.15,RU,1603165676
34,Prince Rupert,54.32,-130.32,9.0,70,90,2.1,CA,1603165678
35,Buchanan,5.88,-10.05,24.83,88,74,2.67,LR,1603165679
36,Tuktoyaktuk,69.45,-133.04,-6.0,85,90,5.1,CA,1603165680
37,Malanje,-9.54,16.34,18.99,93,81,3.02,AO,1603165681
38,Albany,42.6,-73.97,13.89,79,100,3.74,US,1603165682
39,Hamilton,39.18,-84.53,12.22,93,90,3.6,US,1603165642
40,Soe,-9.86,124.28,31.74,32,0,4.29,ID,1603165685
41,Quime,-16.98,-67.22,10.25,68,79,1.39,BO,1603165686
42,Petropavlovsk-Kamchatskiy,53.05,158.65,7.0,42,40,5.0,RU,1603165451
43,Yorosso,12.35,-4.78,24.27,67,0,1.88,ML,1603165688
44,Mildura,-34.2,142.15,23.89,28,69,3.6,AU,1603165689
45,Ilulissat,69.22,-51.1,3.0,74,100,3.1,GL,1603165658
46,Bengkulu,-3.8,102.27,29.7,62,100,1.31,ID,1603165692
47,Port Elizabeth,-33.92,25.57,16.0,72,70,9.3,ZA,1603165693
48,Buraidah,26.33,43.98,15.0,41,0,2.6,SA,1603165694
49,Chokurdakh,70.63,147.92,-8.69,98,95,2.64,RU,1603165695
50,Vila,42.03,-8.16,12.78,95,87,1.79,PT,1603165696
51,Qaanaaq,77.48,-69.36,-1.55,86,73,4.0,GL,1603165698
52,East London,-33.02,27.91,16.0,77,40,7.7,ZA,1603165637
53,Blagoveshchenka,52.83,79.87,6.33,58,96,6.59,RU,1603165700
54,Rocha,-34.48,-54.33,13.86,93,94,6.48,UY,1603165701
55,Punta Alta,-38.88,-62.07,9.68,49,0,5.69,AR,1603165702
56,Gao,16.64,1.64,30.35,18,0,2.45,ML,1603165703
57,Saint-Philippe,-21.36,55.77,26.0,44,35,1.5,RE,1603165705
58,Lyambir',54.28,45.12,1.93,86,45,5.77,RU,1603165706
59,Vaini,-21.2,-175.2,25.0,65,20,5.1,TO,1603165707
60,Cidreira,-30.18,-50.21,19.27,93,1,5.44,BR,1603165708
61,Hilo,19.73,-155.09,27.0,65,1,4.1,US,1603165572
62,Olafsvik,64.89,-23.71,3.69,75,60,3.5,IS,1603165711
63,Vostok,46.49,135.88,8.35,51,0,1.97,RU,1603165712
64,Nago,26.59,127.98,30.0,62,40,10.8,JP,1603165713
65,Rosarito,32.33,-117.03,20.0,93,5,3.1,MX,1603165714
66,Kaitangata,-46.28,169.85,12.66,51,90,3.27,NZ,1603165715
67,Acaraú,-2.89,-40.12,25.77,81,12,7.78,BR,1603165717
68,Hithadhoo,-0.6,73.08,28.15,78,89,5.74,MV,1603165718
